Quantity, Value, Footprint, Designators
C1, 0.1uF - 275V, CAP_THT_CERAMIC_X2_18x6x15, 1
C2, 100uF - 16V, CAP_SMD_ELEC_6.3x7.7, 1
C3, 10uF - 16V, CAP_SMD_TANTALUM_CASE-A, 1
C4, 10uF - 6.3V, CAP_SMD_TANTALUM_CASE-A, 1
C5, 0.1uF - 6.3V, CAP_SMD_CERAMIC_0603, 1
C6, 47nF - 350V, CAP_THT_CERAMIC_X2_13x5x11_P10, 1
C7, 100nF - 6,3V, CAP_SMD_CERAMIC_0603, 1
D1, LED, LED_SMD_0603, 1
D2, S1A, DIODE_SMD_SMA, 1
F1, 0,25A - 250V, FUSEHOLDER_THT_5x20_CLIP, 1
J1, CONN_TERMINAL-BLOCK_5P_P5.08, CONN_TERMINAL-BLOCK_5P_P5.08, 1
J2, Conn_01x06_Socket, CONN_SOCKET-HEADER_1x06_V, 1
J3, Conn_01x03_Socket, CONN_PIN-HEADER_1x03_V, 1
K1, 12V 5A, RELAY_SPDT_FINDER_36.11, 1
L1, 600R, BEAD_SMD_1206, 1
PS1, HLK-PM12 - 3W, HILINK_HLK-PMxx, 1
Q1, 2N7002H, SOT-23, 1
R10, R11, 33k - 5% - 1/4W, RES_SMD_1206, 2
R1, R2, R3, R6, R12, 10k - 5% - 1/10W, RES_SMD_0603, 5
R4, 2k2 - 5% - 1/10W, RES_SMD_0603, 1
R5, 390R - 5% - 1/10W, RES_SMD_0603, 1
R7, 33k - 5% - 1/10W, RES_SMD_0603, 1
R8, 10k, LDR_5_V, 1
R9, 470k - 5% - 1/4W, RES_SMD_1206, 1
U1, AMS1117-3.3 - 3.3W, SOT-223-3_TAB2, 1
U2, ESP-12E, MOD_ESP-12E, 1
U3, PC817, SMDIP-4_7.62, 1
U4, H11AA1, SMDIP-6_7.62, 1
